IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.65.28.224,4,4,0.00,2.45,0.00,N/A
172.65.159.190,4,4,0.00,2.46,0.00,N/A
162.159.192.222,4,4,0.00,2.46,0.00,N/A
172.65.160.26,4,4,0.00,2.48,0.00,N/A
172.65.119.250,4,4,0.00,2.48,0.00,N/A
172.65.168.148,4,4,0.00,2.48,0.00,N/A
172.65.29.105,4,4,0.00,2.48,0.00,N/A
172.65.201.142,4,4,0.00,2.48,0.00,N/A
198.41.215.17,4,4,0.00,2.48,0.00,N/A
172.65.191.77,4,4,0.00,2.48,0.00,N/A
162.159.93.189,4,4,0.00,2.48,0.00,N/A
172.65.109.209,4,4,0.00,2.49,0.00,N/A
172.64.82.187,4,4,0.00,2.49,0.00,N/A
162.159.239.37,4,4,0.00,2.50,0.00,N/A
162.159.60.122,4,4,0.00,2.50,0.00,N/A
172.64.235.100,4,4,0.00,2.50,0.00,N/A
198.41.209.55,4,4,0.00,2.50,0.00,N/A
172.65.184.205,4,4,0.00,2.51,0.00,N/A
172.64.148.52,4,4,0.00,2.51,0.00,N/A
172.65.116.22,4,4,0.00,2.51,0.00,N/A
172.65.141.143,4,4,0.00,2.51,0.00,N/A
104.24.9.212,4,4,0.00,2.51,0.00,N/A
198.41.198.48,4,4,0.00,2.51,0.00,N/A
172.65.155.150,4,4,0.00,2.52,0.00,N/A
172.65.61.142,4,4,0.00,2.52,0.00,N/A
172.65.32.51,4,4,0.00,2.52,0.00,N/A
172.65.209.146,4,4,0.00,2.53,0.00,N/A
162.159.82.91,4,4,0.00,2.53,0.00,N/A
198.41.211.124,4,4,0.00,2.53,0.00,N/A
172.65.199.180,4,4,0.00,1.96,0.00,N/A
172.65.69.82,4,4,0.00,2.53,0.00,N/A
162.159.94.128,4,4,0.00,2.53,0.00,N/A
198.41.192.51,4,4,0.00,2.53,0.00,N/A
172.65.80.113,4,4,0.00,2.54,0.00,N/A
172.65.220.60,4,4,0.00,2.54,0.00,N/A
172.65.47.60,4,4,0.00,2.54,0.00,N/A
172.65.120.96,4,4,0.00,2.55,0.00,N/A
172.65.158.217,4,4,0.00,2.55,0.00,N/A
172.65.212.133,4,4,0.00,2.56,0.00,N/A
162.159.242.180,4,4,0.00,2.56,0.00,N/A
198.41.197.87,4,4,0.00,2.56,0.00,N/A
172.65.142.30,4,4,0.00,2.57,0.00,N/A
172.65.130.137,4,4,0.00,2.57,0.00,N/A
172.65.164.200,4,4,0.00,2.57,0.00,N/A
172.65.40.126,4,4,0.00,2.57,0.00,N/A
172.65.156.158,4,4,0.00,2.58,0.00,N/A
172.64.76.159,4,4,0.00,2.58,0.00,N/A
172.65.114.188,4,4,0.00,2.58,0.00,N/A
172.65.33.63,4,4,0.00,2.58,0.00,N/A
162.159.201.56,4,4,0.00,2.58,0.00,N/A
172.65.57.230,4,4,0.00,2.59,0.00,N/A
172.65.133.149,4,4,0.00,2.59,0.00,N/A
172.65.128.105,4,4,0.00,2.60,0.00,N/A
104.24.133.188,4,4,0.00,2.60,0.00,N/A
198.41.196.66,4,4,0.00,2.61,0.00,N/A
172.65.104.2,4,4,0.00,2.62,0.00,N/A
172.65.42.210,4,4,0.00,2.62,0.00,N/A
172.65.243.186,4,4,0.00,2.63,0.00,N/A
162.159.13.176,4,4,0.00,2.63,0.00,N/A
172.65.100.45,4,4,0.00,2.64,0.00,N/A
172.65.177.22,4,4,0.00,2.64,0.00,N/A
162.159.246.220,4,4,0.00,2.64,0.00,N/A
162.159.95.241,4,4,0.00,2.65,0.00,N/A
162.159.236.179,4,4,0.00,2.65,0.00,N/A
172.64.89.136,4,4,0.00,2.65,0.00,N/A
198.41.216.20,4,4,0.00,2.65,0.00,N/A
172.65.65.111,4,4,0.00,2.65,0.00,N/A
172.65.102.241,4,4,0.00,2.66,0.00,N/A
162.159.17.99,4,4,0.00,2.66,0.00,N/A
162.159.194.145,4,4,0.00,2.66,0.00,N/A
172.65.148.176,4,4,0.00,2.66,0.00,N/A
198.41.195.143,4,4,0.00,2.66,0.00,N/A
162.159.92.237,4,4,0.00,2.66,0.00,N/A
104.24.7.178,4,4,0.00,2.66,0.00,N/A
172.65.196.201,4,4,0.00,2.66,0.00,N/A
162.159.21.127,4,4,0.00,2.67,0.00,N/A
172.64.153.108,4,4,0.00,2.67,0.00,N/A
162.159.57.58,4,4,0.00,2.67,0.00,N/A
172.65.244.227,4,4,0.00,2.67,0.00,N/A
