104.24.42.73,4,4,0.00,6.09,59.19,MSP,US
104.27.204.180,4,4,0.00,6.10,56.72,MSP,US
104.24.91.45,4,4,0.00,6.11,55.73,MSP,US
104.27.203.26,4,4,0.00,6.01,54.28,MSP,US
172.65.55.67,4,4,0.00,6.00,0.00,N/A,US
172.65.41.21,4,4,0.00,6.02,0.00,N/A,US
172.65.56.40,4,4,0.00,6.03,0.00,N/A,US
172.65.15.30,4,4,0.00,6.04,0.00,N/A,US
172.65.68.190,4,4,0.00,6.06,0.00,N/A,US
172.65.81.132,4,4,0.00,6.06,0.00,N/A,US
172.65.14.109,4,4,0.00,6.07,0.00,N/A,US
172.65.43.163,4,4,0.00,6.08,0.00,N/A,US
172.65.170.28,4,4,0.00,6.09,0.00,N/A,US
172.65.31.14,4,4,0.00,6.10,0.00,N/A,US
172.65.99.165,4,4,0.00,6.11,0.00,N/A,US
104.24.32.206,4,4,0.00,6.11,0.00,N/A,US
104.24.45.122,4,4,0.00,6.11,0.00,N/A,US
172.65.105.251,4,4,0.00,6.11,0.00,N/A,US
172.65.60.190,4,4,0.00,6.12,0.00,N/A,US
172.65.87.59,4,4,0.00,6.13,0.00,N/A,US
104.24.70.234,4,4,0.00,6.14,0.00,N/A,US
172.65.106.192,4,4,0.00,6.14,0.00,N/A,US
172.65.63.24,4,4,0.00,6.14,0.00,N/A,US
172.65.220.41,4,4,0.00,6.14,0.00,N/A,US
104.18.90.167,4,4,0.00,6.15,0.00,N/A,US
104.25.210.173,4,4,0.00,6.15,0.00,N/A,US
104.18.54.53,4,4,0.00,6.15,0.00,N/A,US
104.21.201.162,4,4,0.00,6.15,0.00,N/A,US
172.65.192.13,4,4,0.00,6.15,0.00,N/A,US
172.65.90.76,4,4,0.00,6.15,0.00,N/A,US
172.65.51.188,4,4,0.00,6.16,0.00,N/A,US
104.17.90.232,4,4,0.00,6.16,0.00,N/A,US
172.65.232.34,4,4,0.00,6.16,0.00,N/A,US
104.24.47.244,4,4,0.00,6.16,0.00,N/A,US
104.17.94.142,4,4,0.00,6.17,0.00,N/A,US
172.65.181.87,4,4,0.00,6.17,0.00,N/A,US
104.25.201.7,4,4,0.00,6.17,0.00,N/A,US
172.65.42.190,4,4,0.00,6.17,0.00,N/A,US
172.65.101.187,4,4,0.00,6.17,0.00,N/A,US
172.65.173.129,4,4,0.00,6.18,0.00,N/A,US
104.25.221.88,4,4,0.00,6.18,0.00,N/A,US
172.65.88.130,4,4,0.00,6.18,0.00,N/A,US
104.24.81.57,4,4,0.00,6.18,0.00,N/A,US
104.24.46.19,4,4,0.00,6.18,0.00,N/A,US
104.20.48.77,4,4,0.00,6.18,0.00,N/A,US
104.25.60.178,4,4,0.00,6.19,0.00,N/A,US
104.24.78.16,4,4,0.00,6.19,0.00,N/A,US
172.65.64.82,4,4,0.00,6.19,0.00,N/A,US
172.65.8.31,4,4,0.00,6.19,0.00,N/A,US
172.65.57.3,4,4,0.00,6.20,0.00,N/A,US
172.65.219.118,4,4,0.00,6.20,0.00,N/A,US
172.65.222.173,4,4,0.00,6.20,0.00,N/A,US
172.65.23.24,4,4,0.00,6.20,0.00,N/A,US
172.65.241.220,4,4,0.00,6.20,0.00,N/A,US
172.65.54.254,4,4,0.00,6.20,0.00,N/A,US
172.65.193.87,4,4,0.00,6.20,0.00,N/A,US
172.65.255.74,4,4,0.00,6.21,0.00,N/A,US
172.67.85.41,4,4,0.00,6.21,0.00,N/A,US
104.19.68.228,4,4,0.00,6.21,0.00,N/A,US
104.21.217.228,4,4,0.00,6.22,0.00,N/A,US
104.25.160.219,4,4,0.00,6.22,0.00,N/A,US
104.24.48.13,4,4,0.00,6.22,0.00,N/A,US
172.65.191.170,4,4,0.00,6.22,0.00,N/A,US
172.65.10.112,4,4,0.00,6.22,0.00,N/A,US
104.24.36.60,4,4,0.00,6.23,0.00,N/A,US
172.67.100.111,4,4,0.00,6.23,0.00,N/A,US
172.65.156.171,4,4,0.00,6.23,0.00,N/A,US
104.21.225.16,4,4,0.00,6.23,0.00,N/A,US
104.17.208.183,4,4,0.00,6.23,0.00,N/A,US
104.18.225.100,4,4,0.00,6.23,0.00,N/A,US
172.65.199.140,4,4,0.00,6.23,0.00,N/A,US
