104.25.143.31,4,4,0.00,1.58,359.17,SJC,US
104.25.247.191,4,4,0.00,1.51,350.23,SJC,US
172.66.165.192,4,4,0.00,1.56,341.11,SJC,US
172.66.157.140,4,4,0.00,1.49,336.90,SJC,US
172.66.162.254,4,4,0.00,1.57,332.43,SJC,US
104.25.0.20,4,4,0.00,1.53,318.69,SJC,US
104.25.11.206,4,4,0.00,1.57,315.53,SJC,US
172.66.151.104,4,4,0.00,1.56,315.23,SJC,US
104.25.236.95,4,4,0.00,1.55,308.12,SJC,US
104.24.179.188,4,4,0.00,1.58,307.22,SJC,US
104.24.228.212,4,4,0.00,1.53,306.83,SJC,US
104.24.88.184,4,4,0.00,1.57,305.85,SJC,US
104.26.2.143,4,4,0.00,1.56,305.85,SJC,US
104.25.162.162,4,4,0.00,1.56,297.63,SJC,US
104.24.152.170,4,4,0.00,1.55,296.04,SJC,US
172.66.156.46,4,4,0.00,1.57,295.59,SJC,US
172.66.159.79,4,4,0.00,1.54,294.39,SJC,US
104.24.232.109,4,4,0.00,1.51,292.23,SJC,US
104.24.206.41,4,4,0.00,1.57,289.52,SJC,US
104.25.29.119,4,4,0.00,1.48,287.53,SJC,US
104.25.26.148,4,4,0.00,1.57,286.75,SJC,US
172.66.153.101,4,4,0.00,1.54,281.77,SJC,US
104.25.84.158,4,4,0.00,1.55,267.95,SJC,US
104.25.173.162,4,4,0.00,1.57,258.37,SJC,US
104.27.118.206,4,4,0.00,1.57,233.86,SJC,US
104.25.242.105,4,4,0.00,1.56,224.18,SJC,US
172.67.145.161,4,4,0.00,1.53,129.14,SJC,US
104.25.14.127,4,4,0.00,1.51,125.53,SJC,US
172.66.155.61,4,4,0.00,1.52,107.48,SJC,US
104.17.148.121,4,4,0.00,3.37,0.00,N/A,US
172.65.50.93,4,4,0.00,2.32,0.00,N/A,US
104.25.109.5,4,4,0.00,1.58,0.00,N/A,US
104.25.187.154,4,4,0.00,1.58,0.00,N/A,US
104.24.143.57,4,4,0.00,1.58,0.00,N/A,US
104.27.52.55,4,4,0.00,1.58,0.00,N/A,US
104.25.159.190,4,4,0.00,1.58,0.00,N/A,US
172.67.168.167,4,4,0.00,1.59,0.00,N/A,US
172.66.171.119,4,4,0.00,1.59,0.00,N/A,US
104.25.118.196,4,4,0.00,1.59,0.00,N/A,US
104.25.19.246,4,4,0.00,1.59,0.00,N/A,US
104.24.133.152,4,4,0.00,1.59,0.00,N/A,US
104.25.165.143,4,4,0.00,1.59,0.00,N/A,US
172.66.144.75,4,4,0.00,1.59,0.00,N/A,US
104.25.25.237,4,4,0.00,1.60,0.00,N/A,US
104.24.201.174,4,4,0.00,1.60,0.00,N/A,US
172.67.227.142,4,4,0.00,1.60,0.00,N/A,US
104.25.5.209,4,4,0.00,1.60,0.00,N/A,US
172.66.175.12,4,4,0.00,1.60,0.00,N/A,US
172.64.234.96,4,4,0.00,1.60,0.00,N/A,US
172.66.45.117,4,4,0.00,1.60,0.00,N/A,US
172.67.175.65,4,4,0.00,1.60,0.00,N/A,US
104.25.122.67,4,4,0.00,1.60,0.00,N/A,US
104.24.58.157,4,4,0.00,1.60,0.00,N/A,US
172.67.75.235,4,4,0.00,1.60,0.00,N/A,US
104.25.77.118,4,4,0.00,1.61,0.00,N/A,US
172.66.169.32,4,4,0.00,1.61,0.00,N/A,US
104.25.70.223,4,4,0.00,1.61,0.00,N/A,US
104.24.207.236,4,4,0.00,1.61,0.00,N/A,US
104.25.164.200,4,4,0.00,1.61,0.00,N/A,US
104.25.160.137,4,4,0.00,1.61,0.00,N/A,US
104.25.195.174,4,4,0.00,1.61,0.00,N/A,US
104.24.229.170,4,4,0.00,1.61,0.00,N/A,US
104.25.65.119,4,4,0.00,1.61,0.00,N/A,US
104.25.182.178,4,4,0.00,1.61,0.00,N/A,US
172.66.150.96,4,4,0.00,1.61,0.00,N/A,US
104.25.166.193,4,4,0.00,1.61,0.00,N/A,US
172.66.173.72,4,4,0.00,1.61,0.00,N/A,US
104.25.219.107,4,4,0.00,1.61,0.00,N/A,US
104.25.241.77,4,4,0.00,1.62,0.00,N/A,US
172.65.7.148,4,4,0.00,1.62,0.00,N/A,US
